Sample,Th1_Cytotoxic_scores,Th1_Exhaustion_scores,Th1_TCR_signaling_scores,Th1_IFN_response_scores,Th1_Activation_effector_scores,Th1_Unhelped_CD4_T_scores,Treg_Treg_signature_scores,Treg_Exhaustion_scores,Treg_TCR_signaling_scores,Treg_IFN_response_scores,Treg_Activation_effector_scores,Pro_Proliferation_scores,Pro_Exhaustion_scores,Pro_Treg_signature_scores,Pro_TCR_signaling_scores,Pro_IFN_response_scores,Pro_Activation_effector_scores,Pro_Unhelped_CD4_T_scores
HC01,0.3744460384127543,0.09883067751224743,0.5343840397714205,0.1585454138668669,0.29758638230457146,-0.0015239517374048015,0.24899737737427932,0.16687301067513888,0.6514199764785001,0.19616664353074884,0.290213686911436,-0.030229672590891526,0.28443184691489165,0.15558970058786326,0.6987143593138881,0.33251761501381377,0.2449148316957449,-0.047078293165875036
HC02,0.42732839103548503,0.10858757236662755,0.5463225992338349,0.18698391614476148,0.332142123989593,0.006555094133004439,0.1991323612422532,0.18450068850711387,0.6787086539795927,0.19040092947993065,0.3213143534361803,0.3376422182718913,0.3034503077092281,0.07634709698169796,0.7347086043895112,0.3092302052546738,0.34931340970712305,-0.012931702624001
HC03,0.18294877216284014,0.14398703137857927,0.5926064991091394,0.2156871183687178,0.3271449069509538,-0.03173855712363225,0.20669451903388836,0.21966699319743793,0.7398992605437914,0.2365459137564353,0.39175566631572667,-0.04373016726970673,0.19155081761029844,0.09219235069424932,0.7469846884781824,0.2951707810542112,0.41970370829655235,-0.04086022174387706
HC04,0.3129823657553129,0.09399312840798695,0.5996891490700046,0.1644289243507161,0.46098096927197485,0.009374666780570152,0.1320182683901567,0.17786472435097897,0.7219234089048034,0.2243226650386465,0.4078050278931493,0.2504178157559147,0.3171402182011948,0.0777642209208686,0.7841370660447287,0.30983610271057915,0.416867169265383,-0.050213612928591306
HC05,0.2845361892414475,0.07482538455064303,0.5675915178039344,0.14936483571698914,0.3922714542247634,0.009287156999439003,0.15872091944745817,0.1305607562050401,0.634588568708367,0.1586387474798646,0.3762457859403839,-0.04369046052296957,0.2579111632635629,0.19569398386068879,0.5658143963815023,0.16673514595935052,0.21259948816315688,-0.060494391306000136
HC06,0.42587303365767226,0.11596552317711141,0.4631231494279227,0.16348973027458677,0.09876880964008049,0.0071979329958253725,0.19051988910778092,0.1786542671170608,0.489884919244355,0.17220858895943367,-0.008927761043525185,0.06132732915878296,0.21775640735313276,0.11430454618994708,0.5294831430139624,0.20128957311425685,-0.016753860725149783,-0.05936770794852562
HC07,0.8730166971057706,0.14965808205535064,0.49032794970986104,0.19065362137449637,0.24558142525295937,0.034469068718006764,0.25681265163424116,0.20310986917357113,0.4758956223277721,0.17548846506631616,-0.034315558392536395,0.6602629972874433,0.34119057465662006,0.1294039598982033,0.5310640186679759,0.16411635122978757,-0.04538733636204398,-0.057412185745201134
HC08,0.6776276539105514,0.16780507685192636,0.4626641476789277,0.22068532209374064,0.18676604553391205,0.01408032483821129,0.18540874736429674,0.213789735981686,0.4895894001947939,0.23607643094561237,0.022365000146705526,0.5224546407744999,0.34898801374852384,0.11374372852305294,0.4996835723667224,0.21813005428984633,0.008009354343122764,-0.054132210749276675
HC09,0.5315484324497424,0.14896830395801994,0.48920829657556963,0.2053705692546707,0.1466663714710644,0.005918877720552819,0.19909715217567064,0.1908295646267686,0.4865317270042554,0.1966008502536799,0.0028188558245742954,0.434414405482156,0.3151163148839175,0.1211171096338605,0.5294059379619894,0.1246725635201713,0.00966481310210168,-0.058231774991068734
HC10,0.6405204308933043,0.13741478361950288,0.49776709776775224,0.16168829902349952,0.1906020166939455,0.00807568983458355,0.20625366234528805,0.22198079634642706,0.5231174179830174,0.21876939026802666,0.03282908719193236,0.41159776701245987,0.29546677777851704,0.07852009605719854,0.5399455776525153,0.2329029743689991,0.030941380438857812,-0.05278229988414359
HC11,1.0027284286544538,0.14627755581756993,0.5116744315642567,0.2635778967230772,0.30579332355128225,0.07162087398109149,0.16567893153301375,0.19600008824794557,0.528318966076293,0.27695138970906885,0.06789733963732081,-0.016616774241129572,0.2661884807834486,0.22761790870540008,0.5442077615128933,0.2900300432349764,0.17318315738530266,-0.016345153456018495
